id	trueLen	effectiveLen	percentEffective
Gorai.001G013800	1051	1051	1
Gorai.001G013900	1459	1459	1
Gorai.001G014000	1365	1365	1
Gorai.001G014100	5398	5398	1
Gorai.001G014200	1346	1346	1
Gorai.001G014300	1314	1314	1
Gorai.001G014400	543	543	1
Gorai.001G014500	788	788	1
Gorai.001G014600	1161	1161	1
Gorai.001G014700	1176	1176	1
Gorai.001G014800	947	947	1
Gorai.001G014900	606	606	1
Gorai.001G015000	1422	1422	1
Gorai.001G015100	1201	1201	1
Gorai.001G015200	1034	1034	1
Gorai.001G015300	3778	3778	1
Gorai.001G015400	1544	1544	1
Gorai.001G015500	1277	1277	1
Gorai.001G015600	693	693	1
Gorai.001G015700	1024	1024	1
Gorai.001G015800	1429	1429	1
Gorai.001G015900	2138	2138	1
Gorai.001G016000	2784	2784	1
Gorai.001G016100	1188	1188	1
Gorai.001G016200	618	618	1
Gorai.001G016300	1914	1914	1
Gorai.001G016400	1167	1167	1
Gorai.001G016500	2188	2188	1
Gorai.001G016600	1740	1740	1
Gorai.001G016700	1116	1116	1
Gorai.001G016800	1185	1185	1
Gorai.001G016900	2084	2084	1
Gorai.001G017000	4460	4460	1
Gorai.001G017100	4244	4244	1
Gorai.001G017200	869	869	1
Gorai.001G017300	805	805	1
Gorai.001G017400	3755	3755	1
Gorai.001G017500	1127	1127	1
Gorai.001G017600	808	808	1
Gorai.001G017700	2665	2665	1
Gorai.001G017800	3550	3550	1
Gorai.001G017900	1609	1609	1
Gorai.001G018000	3166	3166	1
Gorai.001G018100	6347	6347	1
Gorai.001G018200	1814	1814	1
Gorai.001G018300	2019	2019	1
Gorai.001G018400	1723	1723	1
Gorai.001G018500	1169	1169	1
Gorai.001G018600	2094	2094	1
Gorai.001G018700	6070	6070	1
Gorai.001G018800	1247	1247	1
Gorai.001G018900	1183	1183	1
Gorai.001G019000	420	133	0.316666666666667
Gorai.001G019100	1002	1002	1
Gorai.001G019200	2370	2370	1
Gorai.001G019300	915	915	1
Gorai.001G019400	904	904	1
Gorai.001G019500	1693	1693	1
Gorai.001G019600	1903	1903	1
Gorai.001G019700	1476	1476	1
Gorai.001G019800	3307	3307	1
Gorai.001G019900	1001	1001	1
Gorai.001G020000	2768	2768	1
Gorai.001G020100	1097	1097	1
Gorai.001G020200	3886	3886	1
Gorai.001G020300	2211	2211	1
Gorai.001G020400	1412	1412	1
Gorai.001G020500	1286	1286	1
Gorai.001G020600	1281	1281	1
Gorai.001G020700	1748	1748	1
Gorai.001G020800	284	284	1
Gorai.001G020900	2770	2770	1
Gorai.001G021000	1158	1158	1
Gorai.001G021100	1550	1550	1
Gorai.001G021200	2646	2646	1
Gorai.001G021300	1228	1228	1
Gorai.001G021400	573	573	1
Gorai.001G021500	939	939	1
Gorai.001G021600	1849	1849	1
Gorai.001G021700	744	744	1
Gorai.001G021800	2952	2952	1
Gorai.001G021900	799	799	1
Gorai.001G022000	1680	1680	1
Gorai.001G022100	1218	1218	1
Gorai.001G022200	2835	2835	1
Gorai.001G022300	1947	1947	1
Gorai.001G022400	1963	1963	1
Gorai.001G022500	1467	1467	1
Gorai.001G022600	327	327	1
Gorai.001G022700	891	891	1
Gorai.001G022800	3416	3416	1
Gorai.001G022900	1720	1720	1
Gorai.001G023000	1149	1149	1
Gorai.001G023100	2704	2704	1
Gorai.001G023200	1607	1607	1
Gorai.001G023300	2696	2696	1
Gorai.001G023400	781	781	1
Gorai.001G023500	1247	1247	1
Gorai.001G023600	1189	1189	1
Gorai.001G023700	1787	1787	1
Gorai.001G023800	1790	1790	1
Gorai.001G023900	639	639	1
Gorai.001G024000	3068	3068	1
Gorai.001G024100	3012	3012	1
Gorai.001G024200	810	810	1
Gorai.001G024300	1310	1310	1
Gorai.001G024400	1402	1402	1
Gorai.001G024500	1221	1221	1
Gorai.001G024600	6236	6236	1
Gorai.001G024700	1014	1014	1
Gorai.001G024800	366	366	1
Gorai.001G024900	1842	1842	1
Gorai.001G025000	2278	2278	1
Gorai.001G025100	270	270	1
Gorai.001G025200	138	138	1
Gorai.001G025300	830	830	1
Gorai.001G025400	258	258	1
Gorai.001G025500	2225	2131	0.957752808988764
Gorai.001G025600	1027	1027	1
Gorai.001G025700	2354	1118	0.474936278674596
Gorai.001G025800	526	526	1
Gorai.001G025900	3028	3028	1
Gorai.001G026000	3537	3537	1
Gorai.001G026100	1942	1942	1
Gorai.001G026200	2134	2134	1
Gorai.001G026300	2924	2924	1
Gorai.001G026400	964	964	1
Gorai.001G026500	1740	1740	1
Gorai.001G026600	1473	1473	1
Gorai.001G026700	3268	3268	1
Gorai.001G026800	3202	3202	1
Gorai.001G026900	1604	1604	1
Gorai.001G027000	2034	2034	1
Gorai.001G027100	1576	1576	1
Gorai.001G027200	1880	1880	1
Gorai.001G027300	483	483	1
Gorai.001G027400	360	360	1
Gorai.001G027500	2679	2679	1
Gorai.001G027600	4613	4613	1
Gorai.001G027700	4904	4904	1
Gorai.001G027800	990	990	1
Gorai.001G027900	2631	2631	1
Gorai.001G028000	1640	1640	1
Gorai.001G028100	1777	1777	1
Gorai.001G028200	3773	3773	1
Gorai.001G028300	297	297	1
Gorai.001G028400	1834	1834	1
Gorai.001G028500	285	285	1
Gorai.001G028600	1342	1342	1
Gorai.001G028700	1731	1731	1
Gorai.001G028800	885	885	1
Gorai.001G028900	2216	2126	0.959386281588448
Gorai.001G029000	1701	1701	1
Gorai.001G029100	432	432	1
Gorai.001G029200	2079	2079	1
Gorai.001G029300	1033	1033	1
Gorai.001G029400	1893	1893	1
Gorai.001G029500	751	751	1
Gorai.001G029600	1615	1615	1
Gorai.001G029700	1169	1169	1
Gorai.001G029800	3219	3219	1
Gorai.001G029900	765	765	1
Gorai.001G030000	1405	1405	1
Gorai.001G030100	2379	2379	1
Gorai.001G030200	2353	2353	1
Gorai.001G030300	1261	1261	1
Gorai.001G030400	1307	1307	1
Gorai.001G030500	1511	1511	1
Gorai.001G030600	2481	2481	1
Gorai.001G030700	983	983	1
Gorai.001G030800	2305	2305	1
Gorai.001G030900	1386	1386	1
Gorai.001G031000	1376	1376	1
Gorai.001G031100	1012	1012	1
Gorai.001G031200	795	795	1
Gorai.001G031300	1411	1411	1
Gorai.001G031400	4724	4724	1
Gorai.001G031500	1746	1746	1
Gorai.001G031600	642	642	1
Gorai.001G031700	2075	2075	1
Gorai.001G031800	901	901	1
Gorai.001G031900	422	422	1
Gorai.001G032000	1368	1368	1
Gorai.001G032100	2746	2746	1
Gorai.001G032200	2080	2080	1
Gorai.001G032300	2207	2207	1
Gorai.001G032400	2335	2335	1
Gorai.001G032500	387	387	1
Gorai.001G032600	1842	1842	1
Gorai.001G032700	1697	1697	1
Gorai.001G032800	1281	1281	1
Gorai.001G032900	1519	1519	1
Gorai.001G033000	2330	2330	1
Gorai.001G033100	1049	1049	1
Gorai.001G033200	987	987	1
Gorai.001G033300	2676	2676	1
Gorai.001G033400	1959	1959	1
Gorai.001G033500	1120	1120	1
Gorai.001G033600	1901	1901	1
Gorai.001G033700	2117	2117	1
Gorai.001G033800	1715	1715	1
Gorai.001G033900	2340	2340	1
Gorai.001G034000	2140	2140	1
Gorai.001G034100	981	981	1
Gorai.001G034200	1835	1835	1
Gorai.001G034300	1100	1100	1
Gorai.001G034400	752	752	1
Gorai.001G034500	3206	3206	1
Gorai.001G034600	3097	3097	1
Gorai.001G034700	954	954	1
Gorai.001G034800	1472	1472	1
Gorai.001G034900	1505	1505	1
Gorai.001G035000	1785	1785	1
Gorai.001G035100	1098	1098	1
Gorai.001G035200	1858	1858	1
Gorai.001G035300	6863	6863	1
Gorai.001G035400	431	431	1
Gorai.001G035500	1781	1781	1
Gorai.001G035600	1176	1176	1
Gorai.001G035700	2071	2071	1
Gorai.001G035800	450	450	1
Gorai.001G035900	4269	4269	1
Gorai.001G036000	2349	2349	1
Gorai.001G036100	1230	1230	1
Gorai.001G036200	2192	2192	1
Gorai.001G036300	1355	1355	1
Gorai.001G036400	2105	2105	1
Gorai.001G036500	1026	1026	1
Gorai.001G036600	1277	1277	1
Gorai.001G036700	982	982	1
Gorai.001G036800	1752	924	0.527397260273973
Gorai.001G036900	4834	4834	1
Gorai.001G037000	1395	1395	1
Gorai.001G037100	1274	1274	1
Gorai.001G037200	3581	3581	1
Gorai.001G037300	1066	1066	1
Gorai.001G037400	2040	2040	1
Gorai.001G037500	2525	2525	1
Gorai.001G037600	2247	2247	1
Gorai.001G037700	1612	1612	1
Gorai.001G037800	998	998	1
Gorai.001G037900	4100	4100	1
Gorai.001G038000	1792	1792	1
Gorai.001G038100	2029	2029	1
Gorai.001G038200	2856	2856	1
Gorai.001G038300	1027	1027	1
Gorai.001G038400	1787	1787	1
Gorai.001G038500	1135	1135	1
Gorai.001G038600	1259	1259	1
Gorai.001G038700	2431	2431	1
Gorai.001G038800	1132	1132	1
Gorai.001G038900	662	662	1
Gorai.001G039000	675	675	1
Gorai.001G039100	1952	1952	1
Gorai.001G039200	1288	1288	1
Gorai.001G039300	2494	2494	1
Gorai.001G039400	1733	1733	1
Gorai.001G039500	1090	1090	1
Gorai.001G039600	505	505	1
Gorai.001G039700	456	456	1
Gorai.001G039800	850	850	1
Gorai.001G039900	3455	3455	1
Gorai.001G040000	1398	1398	1
Gorai.001G040100	252	252	1
Gorai.001G040200	2728	2728	1
Gorai.001G040300	1925	1925	1
Gorai.001G040400	2061	2061	1
Gorai.001G040500	3093	3093	1
Gorai.001G040600	2452	2452	1
Gorai.001G040700	2006	2006	1
Gorai.001G040800	996	996	1
Gorai.001G040900	1925	1925	1
Gorai.001G041000	366	366	1
Gorai.001G041100	2714	2714	1
Gorai.001G041200	1874	1874	1
Gorai.001G041300	2476	2476	1
Gorai.001G041400	1557	1557	1
Gorai.001G041500	1908	1908	1
Gorai.001G041600	1583	1583	1
Gorai.001G041700	1746	1746	1
Gorai.001G041800	730	730	1
Gorai.001G041900	2137	2137	1
Gorai.001G042000	5628	5628	1
Gorai.001G042100	1412	1412	1
Gorai.001G042200	797	797	1
Gorai.001G042300	1165	1165	1
Gorai.001G042400	609	609	1
Gorai.001G042500	856	856	1
Gorai.001G042600	2724	2724	1
Gorai.001G042700	1283	1283	1
Gorai.001G042800	542	542	1
Gorai.001G042900	834	834	1
Gorai.001G043000	963	963	1
Gorai.001G043100	1678	1678	1
Gorai.001G043200	670	670	1
Gorai.001G043300	1028	1028	1
Gorai.001G043400	4668	4668	1
Gorai.001G043500	2047	2047	1
Gorai.001G043600	2555	2555	1
Gorai.001G043700	2158	2158	1
Gorai.001G043800	1834	1834	1
Gorai.001G043900	1317	1317	1
Gorai.001G044000	1092	1092	1
Gorai.001G044100	669	669	1
Gorai.001G044200	2065	2065	1
Gorai.001G044300	792	792	1
Gorai.001G044400	258	258	1
Gorai.001G044500	541	541	1
Gorai.001G044600	556	556	1
Gorai.001G044700	3952	3952	1
Gorai.001G044800	1415	1415	1
Gorai.001G044900	3042	3042	1
Gorai.001G045000	2942	2942	1
Gorai.001G045100	228	228	1
Gorai.001G045200	1602	1602	1
Gorai.001G045300	2305	2305	1
Gorai.001G045400	1477	0	0
Gorai.001G045500	1082	1082	1
Gorai.001G045600	6107	6107	1
Gorai.001G045700	2433	2433	1
Gorai.001G045800	4390	4390	1
Gorai.001G045900	348	348	1
Gorai.001G046000	1842	1842	1
Gorai.001G046100	1311	1311	1
Gorai.001G046200	823	823	1
Gorai.001G046300	3287	3287	1
Gorai.001G046400	1785	1785	1
Gorai.001G046500	3304	3304	1
Gorai.001G046600	1287	1287	1
Gorai.001G046700	2535	2535	1
Gorai.001G046800	1348	182	0.135014836795252
Gorai.001G046900	2237	2237	1
Gorai.001G047000	2628	2628	1
Gorai.001G047100	2040	2040	1
Gorai.001G047200	1938	1938	1
Gorai.001G047300	1047	1047	1
Gorai.001G047400	2717	2717	1
Gorai.001G047500	1906	1906	1
Gorai.001G047600	663	663	1
Gorai.001G047700	952	952	1
Gorai.001G047800	3330	3330	1
Gorai.001G047900	3384	3384	1
Gorai.001G048000	1375	1375	1
Gorai.001G048100	1446	1446	1
Gorai.001G048200	1845	1845	1
Gorai.001G048300	2572	2572	1
Gorai.001G048400	363	363	1
Gorai.001G048500	1885	1885	1
Gorai.001G048600	2213	2213	1
Gorai.001G048700	687	687	1
Gorai.001G048800	1097	1097	1
Gorai.001G048900	939	939	1
Gorai.001G049000	774	774	1
Gorai.001G049100	4010	4010	1
Gorai.001G049200	618	618	1
Gorai.001G049300	1107	1107	1
Gorai.001G049400	1126	1126	1
Gorai.001G049500	3491	3491	1
Gorai.001G049600	1053	1053	1
Gorai.001G049700	1238	1238	1
Gorai.001G049800	531	531	1
Gorai.001G049900	2127	2127	1
Gorai.001G050000	1881	1881	1
Gorai.001G050100	1495	1495	1
Gorai.001G050200	1798	1798	1
Gorai.001G050300	2724	2724	1
Gorai.001G050400	1294	1294	1
Gorai.001G050500	2028	2028	1
Gorai.001G050600	1251	1251	1
Gorai.001G050700	960	960	1
Gorai.001G050800	1679	1679	1
Gorai.001G050900	7137	7137	1
Gorai.001G051000	2338	2338	1
Gorai.001G051100	1172	1172	1
Gorai.001G051200	1368	1368	1
Gorai.001G051300	1046	1046	1
Gorai.001G051400	831	831	1
Gorai.001G051500	2329	2329	1
Gorai.001G051600	2012	2012	1
Gorai.001G051700	1157	1157	1
Gorai.001G051800	1218	1218	1
Gorai.001G051900	894	894	1
Gorai.001G052000	3584	3584	1
Gorai.001G052100	2555	2555	1
Gorai.001G052200	2934	2934	1
Gorai.001G052300	1080	1080	1
Gorai.001G052400	1315	1315	1
Gorai.001G052500	1108	1108	1
Gorai.001G052600	1122	1122	1
Gorai.001G052700	1798	1798	1
Gorai.001G052800	1925	1925	1
Gorai.001G052900	2837	2837	1
Gorai.001G053000	3284	3284	1
Gorai.001G053100	4361	4361	1
Gorai.001G053200	823	823	1
Gorai.001G053300	2986	2986	1
Gorai.001G053400	2090	2090	1
Gorai.001G053500	1793	1793	1
Gorai.001G053600	1494	1494	1
Gorai.001G053700	983	983	1
Gorai.001G053800	1034	1034	1
Gorai.001G053900	1925	1925	1
Gorai.001G054000	1411	1411	1
Gorai.001G054100	2367	2367	1
Gorai.001G054200	4111	4111	1
Gorai.001G054300	872	872	1
Gorai.001G054400	1485	1485	1
Gorai.001G054500	2216	2216	1
Gorai.001G054600	3342	3342	1
Gorai.001G054700	3240	3240	1
Gorai.001G054800	1134	1134	1
Gorai.001G054900	1420	1420	1
Gorai.001G055000	1054	1054	1
Gorai.001G055100	1159	1159	1
Gorai.001G055200	2191	2191	1
Gorai.001G055300	2374	2374	1
Gorai.001G055400	791	791	1
Gorai.001G055500	1186	1186	1
Gorai.001G055600	1274	1274	1
Gorai.001G055700	1028	1028	1
Gorai.001G055800	1935	1935	1
Gorai.001G055900	2591	2591	1
Gorai.001G056000	267	267	1
Gorai.001G056100	947	947	1
Gorai.001G056200	2305	2305	1
Gorai.001G056300	1298	1298	1
Gorai.001G056400	780	287	0.367948717948718
Gorai.001G056500	1675	1675	1
Gorai.001G056600	285	285	1
Gorai.001G056700	2083	2083	1
Gorai.001G056800	1528	1528	1
Gorai.001G056900	3740	2022	0.540641711229947
Gorai.001G057000	958	958	1
Gorai.001G057100	1481	1481	1
Gorai.001G057200	4544	4486	0.987235915492958
Gorai.001G057300	560	0	0
Gorai.001G057400	4630	3981	0.859827213822894
Gorai.001G057500	1068	1068	1
Gorai.001G057600	769	769	1
Gorai.001G057700	1118	1118	1
Gorai.001G057800	1446	1446	1
Gorai.001G057900	663	663	1
Gorai.001G058000	421	89	0.211401425178147
Gorai.001G058100	2378	2378	1
Gorai.001G058200	2711	2711	1
Gorai.001G058300	1372	1372	1
Gorai.001G058400	3023	3023	1
Gorai.001G058500	1259	1259	1
Gorai.001G058600	1640	1640	1
Gorai.001G058700	615	615	1
Gorai.001G058800	1536	1536	1
Gorai.001G058900	535	535	1
Gorai.001G059000	351	351	1
Gorai.001G059100	1377	1377	1
Gorai.001G059200	1842	1842	1
Gorai.001G059300	1773	1773	1
Gorai.001G059400	4297	4297	1
Gorai.001G059500	426	426	1
Gorai.001G059600	3409	3409	1
Gorai.001G059700	1536	1536	1
Gorai.001G059800	409	409	1
Gorai.001G059900	1768	1768	1
Gorai.001G060000	1316	1316	1
Gorai.001G060100	2926	2926	1
Gorai.001G060200	2270	2270	1
Gorai.001G060300	1324	1324	1
Gorai.001G060400	1695	1695	1
Gorai.001G060500	932	932	1
Gorai.001G060600	2259	2259	1
Gorai.001G060700	1966	1966	1
Gorai.001G060800	4099	4099	1
Gorai.001G060900	2146	2146	1
Gorai.001G061000	840	840	1
Gorai.001G061100	2479	2479	1
Gorai.001G061200	1970	1970	1
Gorai.001G061300	650	650	1
Gorai.001G061400	3191	3191	1
Gorai.001G061500	1549	968	0.624919302775985
Gorai.001G061600	614	129	0.210097719869707
Gorai.001G061700	1611	1611	1
Gorai.001G061800	1890	1890	1
Gorai.001G061900	5327	5323	0.999249108316125
Gorai.001G062000	3038	3038	1
Gorai.001G062100	3105	3105	1
Gorai.001G062200	3423	3423	1
Gorai.001G062300	1523	1523	1
Gorai.001G062400	1367	1367	1
Gorai.001G062500	706	706	1
Gorai.001G062600	1177	1177	1
Gorai.001G062700	1576	1576	1
Gorai.001G062800	252	252	1
Gorai.001G062900	1099	1099	1
Gorai.001G063000	1429	1429	1
Gorai.001G063100	1168	1168	1
Gorai.001G063200	1175	1175	1
Gorai.001G063300	246	246	1
Gorai.001G063400	210	210	1
Gorai.001G063500	1412	1412	1
Gorai.001G063600	1845	1845	1
Gorai.001G063700	585	585	1
Gorai.001G063800	1638	1638	1
Gorai.001G063900	1949	1949	1
Gorai.001G064000	2847	2847	1
Gorai.001G064100	1254	1254	1
Gorai.001G064200	1176	1176	1
Gorai.001G064300	752	752	1
Gorai.001G064400	2587	2587	1
Gorai.001G064500	1634	1634	1
Gorai.001G064600	2301	2301	1
Gorai.001G064700	1360	1360	1
Gorai.001G064800	4421	4421	1
Gorai.001G064900	740	740	1
Gorai.001G065000	486	486	1
Gorai.001G065100	1439	1439	1
Gorai.001G065200	846	846	1
Gorai.001G065300	1168	1168	1
Gorai.001G065400	1196	1196	1
Gorai.001G065500	663	663	1
Gorai.001G065600	1316	1316	1
Gorai.001G065700	1219	1219	1
Gorai.001G065800	878	878	1
Gorai.001G065900	1642	1642	1
Gorai.001G066000	1738	1738	1
Gorai.001G066100	1625	1625	1
Gorai.001G066200	3835	3835	1
Gorai.001G066300	495	495	1
Gorai.001G066400	2567	2567	1
Gorai.001G066500	2641	2641	1
Gorai.001G066600	2238	2238	1
Gorai.001G066700	2142	2142	1
Gorai.001G066800	1419	1419	1
Gorai.001G066900	1687	1687	1
Gorai.001G067000	951	951	1
Gorai.001G067100	1308	1308	1
Gorai.001G067200	350	350	1
Gorai.001G067300	1839	1839	1
Gorai.001G067400	2260	2260	1
Gorai.001G067500	1142	1142	1
Gorai.001G067600	928	928	1
Gorai.001G067700	1856	1856	1
Gorai.001G067800	1304	1304	1
Gorai.001G067900	1998	1998	1
Gorai.001G068000	2181	2181	1
Gorai.001G068100	1176	1176	1
Gorai.001G068200	1685	1685	1
Gorai.001G068300	2524	2524	1
Gorai.001G068400	1019	1019	1
Gorai.001G068500	765	765	1
Gorai.001G068600	1294	1294	1
Gorai.001G068700	1600	1600	1
Gorai.001G068800	612	612	1
Gorai.001G068900	1465	1465	1
Gorai.001G069000	2340	2340	1
Gorai.001G069100	1059	1059	1
Gorai.001G069200	1641	1641	1
Gorai.001G069300	447	447	1
Gorai.001G069400	1522	1522	1
Gorai.001G069500	4366	4366	1
Gorai.001G069600	1626	1626	1
Gorai.001G069700	2070	2070	1
Gorai.001G069800	1364	1364	1
Gorai.001G069900	987	987	1
Gorai.001G070000	1544	1544	1
Gorai.001G070100	669	669	1
Gorai.001G070200	1764	1764	1
Gorai.001G070300	955	955	1
Gorai.001G070400	1963	1963	1
Gorai.001G070500	3033	3033	1
Gorai.001G070600	1610	1610	1
Gorai.001G070700	974	974	1
Gorai.001G070800	2646	2646	1
Gorai.001G070900	557	557	1
Gorai.001G071000	2232	2232	1
Gorai.001G071100	988	988	1
Gorai.001G071200	1883	1883	1
Gorai.001G071300	1629	1629	1
Gorai.001G071400	1989	1989	1
Gorai.001G071500	1255	1255	1
Gorai.001G071600	3310	3310	1
Gorai.001G071700	1812	1812	1
Gorai.001G071800	1968	1968	1
Gorai.001G071900	1637	1637	1
Gorai.001G072000	1274	1274	1
Gorai.001G072100	1334	1334	1
Gorai.001G072200	2514	2514	1
Gorai.001G072300	1481	1481	1
Gorai.001G072400	2753	2753	1
Gorai.001G072500	964	964	1
Gorai.001G072600	2398	2398	1
Gorai.001G072700	1395	1395	1
Gorai.001G072800	1592	1592	1
Gorai.001G072900	913	913	1
Gorai.001G073000	794	794	1
Gorai.001G073100	622	367	0.590032154340836
Gorai.001G073200	4477	4477	1
Gorai.001G073300	562	363	0.645907473309609
Gorai.001G073400	1885	728	0.386206896551724
Gorai.001G073500	1449	1449	1
Gorai.001G073600	1455	1455	1
Gorai.001G073700	526	526	1
Gorai.001G073800	1129	1129	1
Gorai.001G073900	1174	1174	1
Gorai.001G074000	2193	2193	1
Gorai.001G074100	2045	2045	1
Gorai.001G074200	1698	1698	1
Gorai.001G074300	1194	1194	1
Gorai.001G074400	1390	1390	1
Gorai.001G074500	622	570	0.916398713826367
Gorai.001G074600	1860	1860	1
Gorai.001G074700	2380	2380	1
Gorai.001G074800	225	225	1
Gorai.001G074900	1101	1101	1
Gorai.001G075000	789	789	1
Gorai.001G075100	1137	1137	1
Gorai.001G075200	3392	3392	1
Gorai.001G075300	1943	1943	1
Gorai.001G075400	975	975	1
Gorai.001G075500	728	713	0.979395604395604
Gorai.001G075600	1010	1010	1
Gorai.001G075700	876	876	1
Gorai.001G075800	1370	1370	1
Gorai.001G075900	2385	2385	1
Gorai.001G076000	2013	2013	1
Gorai.001G076100	486	486	1
Gorai.001G076200	1317	1317	1
Gorai.001G076300	1527	1527	1
Gorai.001G076400	841	841	1
Gorai.001G076500	2589	2589	1
Gorai.001G076600	4544	4544	1
Gorai.001G076700	1412	1412	1
Gorai.001G076800	1184	1184	1
Gorai.001G076900	1832	1832	1
Gorai.001G077000	1117	1117	1
Gorai.001G077100	1706	1706	1
Gorai.001G077200	2632	2632	1
Gorai.001G077300	1498	1498	1
Gorai.001G077400	2079	2079	1
Gorai.001G077500	1297	1297	1
Gorai.001G077600	3325	3325	1
Gorai.001G077700	765	765	1
Gorai.001G077800	3078	3078	1
Gorai.001G077900	1868	1868	1
Gorai.001G078000	1443	1443	1
Gorai.001G078100	1541	1541	1
Gorai.001G078200	1661	1661	1
Gorai.001G078300	1136	1136	1
Gorai.001G078400	3110	3110	1
Gorai.001G078500	1516	1516	1
Gorai.001G078600	1284	1284	1
